392	0	128	156800.0
664	120	128	265600.0
944	232	128	377600.0
1216	352	128	486400.0
1488	472	128	595200.0
1752	600	128	700800.0
2032	712	128	812800.0
2312	824	128	924800.0
2592	936	128	1036800.0
2864	1056	128	1145600.0
3144	1168	128	1257600.0
3424	1280	128	1369600.0
3728	1368	128	1491200.0
4008	1480	128	1603200.0
4280	1600	128	1712000.0
4552	1720	128	1820800.0
4824	1840	128	1929600.0
5128	1928	128	2051200.0
5400	2048	128	2160000.0
5664	2176	128	2265600.0
5936	2296	128	2374400.0
6208	2416	128	2483200.0
6488	2528	128	2595200.0
6760	2648	128	2704000.0
7040	2760	128	2816000.0
7312	2880	128	2924800.0
7576	3008	128	3030400.0
7840	3136	128	3136000.0
8120	3248	128	3248000.0
8392	3368	128	3356800.0
8672	3480	128	3468800.0
8952	3592	128	3580800.0
9232	3704	128	3692800.0
9512	3816	128	3804800.0
9784	3936	128	3913600.0
10064	4048	128	4025600.0
10336	4168	128	4134400.0
10616	4280	128	4246400.0
10896	4392	128	4358400.0
11168	4512	128	4467200.0
11448	4624	128	4579200.0
11728	4736	128	4691200.0
12008	4848	128	4803200.0
12280	4968	128	4912000.0
12560	5080	128	5024000.0
12832	5200	128	5132800.0
13112	5312	128	5244800.0
13384	5432	128	5353600.0
13656	5552	128	5462400.0
13928	5672	128	5571200.0
14216	5776	128	5686400.0
14480	5904	128	5792000.0
14712	6064	128	5884800.0
14840	6272	128	5936000.0
14960	6488	128	5984000.0
15032	6696	128	6012800.0
15072	6936	128	6028800.0
15112	7176	128	6044800.0
15152	7416	128	6060800.0
15216	7632	128	6086400.0
15264	7864	128	6105600.0
15304	8104	128	6121600.0
15344	8344	128	6137600.0
15392	8576	128	6156800.0
15432	8816	128	6172800.0
15456	9072	128	6182400.0
15472	9336	128	6188800.0
15480	9608	128	6192000.0
15480	9848	128	6192000.0
15480	10088	128	6192000.0
15480	10328	128	6192000.0
15480	10568	128	6192000.0
15480	10808	128	6192000.0
15480	11048	128	6192000.0
15512	11304	128	6204800.0
15512	11544	128	6204800.0
15512	11784	128	6204800.0
15512	12072	128	6204800.0
15512	12312	128	6204800.0
15512	12552	128	6204800.0
15536	12808	128	6214400.0
15536	13048	128	6214400.0
15536	13288	128	6214400.0
15536	13488	128	6214400.0
